# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
22

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,MDGIJXXVTA,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,56,17
# x,y,z,u,w
1.625573770491803627e+00, -9.433217119948740514e-02, -8.200530747021521627e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
1.625573770491803849e+00, -5.191694310573276988e-02, -7.914459325197163997e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
1.625573770491803183e+00, 0.000000000000000000e+00, -7.809532471479396776e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.625573770491803849e+00, 5.191694310573269355e-02, -7.914459325197165107e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
1.625573770491803849e+00, 9.433217119948726637e-02, -8.200530747021521627e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
1.625573770491803183e+00, 1.229393133819235012e-01, -8.624683027959071380e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
1.625573770491803627e+00, 1.334319987536999041e-01, -9.143852459016396095e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
2.826088218255013551e+00, 6.684214247673279097e-01, -8.105411241217802543e-01, 1.199999999999999956e+00, 0.000000000000000000e+00
3.020459612818325201e+00, 5.974539947128482131e-01, -1.063512046741292849e+00, 1.199999999999999956e+00, 2.500000000000000000e-01
3.267680074542410384e+00, 4.343432117085198607e-01, -1.237579951768994491e+00, 1.199999999999999956e+00, 5.000000000000000000e-01
3.479005604832773990e+00, 2.274375846944793333e-01, -1.280338887036182483e+00, 1.199999999999999956e+00, 7.500000000000000000e-01
3.568408366884969762e+00, -3.191349373008892587e-16, -1.269803733571672311e+00, 1.199999999999999956e+00, 1.000000000000000000e+00
3.479005604832773990e+00, -2.274375846944798329e-01, -1.280338887036181816e+00, 1.199999999999999956e+00, 1.250000000000000000e+00
3.267680074542409496e+00, -4.343432117085204158e-01, -1.237579951768994491e+00, 1.199999999999999956e+00, 1.500000000000000000e+00
3.020459612818324757e+00, -5.974539947128485462e-01, -1.063512046741292627e+00, 1.199999999999999956e+00, 1.750000000000000000e+00
2.826088218255013551e+00, -6.684214247673281317e-01, -8.105411241217799212e-01, 1.199999999999999956e+00, 2.000000000000000000e+00
2.749937870042069132e+00, -6.073478111991510442e-01, -5.719676781565512513e-01, 1.199999999999999956e+00, 2.250000000000000000e+00
2.760712751279717381e+00, -4.469677242128026196e-01, -3.852760059795150571e-01, 1.199999999999999956e+00, 2.500000000000000000e+00
2.803775038846779477e+00, -2.353527868058062356e-01, -2.631431114908084345e-01, 1.199999999999999956e+00, 2.750000000000000000e+00
2.829004366038474938e+00, -1.215797154233957956e-16, -2.188115414758539934e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
2.803775038846779477e+00, 2.353527868058061800e-01, -2.631431114908087676e-01, 1.199999999999999956e+00, 3.250000000000000000e+00
2.760712751279717825e+00, 4.469677242128023975e-01, -3.852760059795151126e-01, 1.199999999999999956e+00, 3.500000000000000000e+00
2.749937870042069132e+00, 6.073478111991508221e-01, -5.719676781565518064e-01, 1.199999999999999956e+00, 3.750000000000000000e+00
2.826088218255013551e+00, 6.684214247673279097e-01, -8.105411241217802543e-01, 1.199999999999999956e+00, 4.000000000000000000e+00
4.143400821264680900e+00, 1.094052602181344147e+00, -5.629128337236537494e-01, 1.399999999999999911e+00, 0.000000000000000000e+00
4.361973971908641445e+00, 9.919415539365636914e-01, -9.707928733419743939e-01, 1.399999999999999911e+00, 2.500000000000000000e-01
